Calibration Report,3/31/2021 9:37:53 PM,
Batch File Name:  20210331_Rhein_Feb_pos,
Batch File Path:  N/A,
Original Data File Path:  D:\SCIEX OS Data\NTA\Data\Cal\Cal-2021-03-31-21-37-53.wiff2,
 ,
 ,
TOF MS,
 ,
Peak finding criteria:,
Mass tolerance = 50 ppm,
Intensity threshold = 1000 cps,
Min. peak resolution = 10000,
Max. peak resolution = 60000,
Criteria for successful calibration:,
PPM Error after calibration(PPM) = 5,
 ,
Calibration Succeeded!,
Used,m/z Expected (Da),Min. Search m/z (Da),Max. Search m/z (Da),m/z Before Calibration (Da),Delta m/z Before Calibration (Da),PPM Error Before Calibration,m/z After Calibration (Da),Delta m/z After Calibration (Da),PPM Error After Calibration,Intensity (cps),Resolution,Charge State,Mono-Isotopic,
Yes,132.9049,132.8983,132.9115,132.9051,0.0002,1.16,132.9049,0.0000,0.17,203363,28245,Undefined,Yes,
Yes,266.1598,266.1465,266.1731,266.1599,0.0001,0.33,266.1598,0.0000,-0.13,97966,34135,1,Yes,
Yes,354.2122,354.1945,354.2300,354.2124,0.0002,0.52,354.2123,0.0001,0.23,92669,34778,1,Yes,
Yes,442.2647,442.2426,442.2868,442.2649,0.0002,0.49,442.2648,0.0001,0.32,118516,34829,1,Yes,
Yes,609.2807,609.2502,609.3111,609.2803,-0.0004,-0.67,609.2802,-0.0004,-0.70,439753,35197,1,Yes,
Yes,829.5393,829.4979,829.5808,829.5390,-0.0003,-0.36,829.5391,-0.0002,-0.27,219369,34720,1,Yes,
Yes,961.4370,961.3889,961.4850,961.4373,0.0003,0.31,961.4374,0.0004,0.46,13293,42767,1,Yes,
No,1446.7322,1446.6599,1446.8046,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
No,1561.6033,1561.5252,1561.6814,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
No,2034.6255,2034.5237,2034.7272,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
No,2149.4965,2149.3891,2149.6040,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
 ,
 ,
 ,
 ,
TOF MS/MS Parent = 829.5393 Da,
 ,
Peak finding criteria:,
Mass tolerance = 50 ppm,
Intensity threshold = 100 cps,
Min. peak resolution = 10000,
Max. peak resolution = 60000,
Criteria for successful calibration:,
PPM Error after calibration(PPM) = 5,
 ,
Calibration Succeeded!,
Used,m/z Expected (Da),Min. Search m/z (Da),Max. Search m/z (Da),m/z Before Calibration (Da),Delta m/z Before Calibration (Da),PPM Error Before Calibration,m/z After Calibration (Da),Delta m/z After Calibration (Da),PPM Error After Calibration,Intensity (cps),Resolution,Charge State,Mono-Isotopic,
Yes,86.0964,86.0921,86.1007,86.0964,0.0000,0.03,86.0964,-0.0001,-0.82,505,19809,Undefined,Yes,
Yes,157.1335,157.1257,157.1414,157.1336,0.0000,0.12,157.1335,-0.0001,-0.40,397,31016,Undefined,Yes,
Yes,185.1285,185.1192,185.1377,185.1285,0.0001,0.44,185.1284,0.0000,0.00,1390,29653,Undefined,Yes,
Yes,215.1390,215.1283,215.1498,215.1391,0.0001,0.58,215.1391,0.0000,0.20,761,31547,Undefined,Yes,
Yes,227.1754,227.1640,227.1868,227.1755,0.0001,0.49,227.1754,0.0000,0.14,454,32333,Undefined,Yes,
Yes,268.1656,268.1522,268.1790,268.1656,0.0001,0.20,268.1655,0.0000,-0.09,812,32306,Undefined,Yes,
Yes,298.2125,298.1976,298.2274,298.2126,0.0001,0.32,298.2125,0.0000,0.07,3180,31065,Undefined,Yes,
Yes,381.2496,381.2306,381.2687,381.2498,0.0001,0.37,381.2497,0.0001,0.20,2863,31890,Undefined,Yes,
No,399.2602,399.2402,399.2802,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
Yes,411.2966,411.2760,411.3171,411.2968,0.0003,0.64,411.2968,0.0002,0.49,1512,31612,Undefined,Yes,
Yes,494.3337,494.3090,494.3584,494.3338,0.0001,0.18,494.3337,0.0000,0.08,5630,31685,Undefined,Yes,
Yes,512.3443,512.3186,512.3699,512.3445,0.0002,0.41,512.3444,0.0002,0.32,3667,31375,Undefined,Yes,
No,532.3341,532.3075,532.3607,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,Not Used,
Yes,607.4178,607.3874,607.4481,607.4178,0.0000,0.06,607.4178,0.0000,0.01,6603,31596,Undefined,Yes,
Yes,706.4862,706.4508,706.5215,706.4863,0.0002,0.24,706.4863,0.0002,0.24,2406,31028,Undefined,Yes,
Yes,724.4967,724.4605,724.5330,724.4962,-0.0005,-0.71,724.4962,-0.0005,-0.71,7387,32799,Undefined,Yes,
Yes,811.5288,811.4882,811.5693,811.5294,0.0006,0.75,811.5294,0.0006,0.77,607,34146,Undefined,Yes,
Yes,829.5393,829.4979,829.5808,829.5386,-0.0007,-0.88,829.5386,-0.0007,-0.85,4555,32668,Undefined,Yes,
 ,
 ,
 ,
 ,
Calibration Parameters Summary,
ScanType,Slope,Delay(nsec),
TOF MS (Positive) Start,0.000489898076016,7.160708715549390,
TOF MS (Positive) Finish,0.000489898276439,7.182026669230680,
TOF MS/MS High Resolution (Positive) Start,0.000489898339585,7.170537962222370,
TOF MS/MS High Resolution (Positive) Finish,0.000489898448151,7.182787409642660,
