Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11700	1.47803e6	4.98232e-3	-3.84677
266.15981	266.16017	1.84876e6	8.47475e-3	1.35044
315.16225	315.16250	1.34724e6	9.46367e-3	0.78542
354.21224	354.21243	1.33221e6	0.01082	0.54410
442.26467	442.26499	1.38652e6	0.01253	0.71995
609.28066	609.28097	1.42852e6	0.01709	0.51141
618.36953	618.36940	3.27522e5	0.01883	-0.20947
922.00980	922.00868	3379.33333	0.03395	-1.21009
