Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11708	2.04710e6	5.11541e-3	-3.25873
266.15981	266.16019	1.76506e6	9.01992e-3	1.43387
315.16225	315.16246	1.33955e6	9.90919e-3	0.66131
354.21224	354.21236	1.14414e6	0.01096	0.32804
442.26467	442.26512	1.12592e6	0.01394	1.02130
609.28066	609.28079	2.57400e6	0.01748	0.21230
618.36953	618.36906	2.16384e5	0.02087	-0.75852
922.00980	922.00934	1.52033e4	0.03124	-0.49720
