Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11726	1.03995e6	6.61269e-3	-2.04917
266.15981	266.15986	1.39343e6	0.01057	0.18182
315.16225	315.16258	8.54814e5	0.01273	1.04638
354.21224	354.21240	8.24045e5	0.01413	0.45386
442.26467	442.26520	9.21973e5	0.01718	1.18757
609.28066	609.28066	1.17064e6	0.02276	-7.60046e-3
618.36953	618.36894	7.63205e4	0.02721	-0.95022
922.00980	922.00967	4360.88462	0.04271	-0.14437
