Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11708	2.32320e6	4.70151e-3	-3.28424
266.15981	266.16015	2.21740e6	8.13566e-3	1.27040
315.16225	315.16247	1.76212e6	8.99656e-3	0.69802
354.21224	354.21258	1.45849e6	9.93719e-3	0.94872
442.26467	442.26513	1.43244e6	0.01242	1.03064
609.28066	609.28088	2.31689e6	0.01608	0.36872
618.36953	618.36951	3.09121e5	0.01875	-0.02834
922.00980	922.00956	4388.05882	0.02959	-0.25525
