Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11721	1.39564e6	6.27633e-3	-2.37948
266.15981	266.15993	1.53463e6	9.82608e-3	0.45606
315.16225	315.16263	8.67146e5	0.01222	1.20179
354.21224	354.21252	8.22153e5	0.01325	0.80310
442.26467	442.26496	8.66474e5	0.01669	0.65031
609.28066	609.28040	1.76916e6	0.02115	-0.42585
618.36953	618.36920	8.66175e4	0.02625	-0.52800
922.00980	922.00974	5387.38095	0.03684	-0.06628
