Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11701	1.33670e6	5.01943e-3	-3.74456
266.15981	266.16004	1.64497e6	8.30210e-3	0.86692
315.16225	315.16247	1.28055e6	9.85705e-3	0.68946
354.21224	354.21274	9.91586e5	0.01164	1.40873
442.26467	442.26502	1.14293e6	0.01325	0.79082
609.28066	609.28119	1.31814e6	0.01795	0.86705
618.36953	618.36890	1.48040e5	0.02105	-1.01747
922.00980	922.00884	1693.43478	0.03464	-1.03807
