Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11711	1.89292e6	5.12324e-3	-3.08423
266.15981	266.16014	1.81286e6	8.75746e-3	1.22411
315.16225	315.16249	1.57449e6	9.41546e-3	0.75816
354.21224	354.21250	1.14669e6	0.01103	0.72066
442.26467	442.26495	1.21196e6	0.01322	0.63391
609.28066	609.28104	2.68920e6	0.01774	0.61781
618.36953	618.36903	2.44516e5	0.01977	-0.80956
922.00980	922.00941	1.11877e4	0.03294	-0.42783
