Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11684	1.21813e6	4.91444e-3	-3.92097
266.15981	266.16008	1.53054e6	8.53904e-3	1.03214
315.16225	315.16252	9.52589e5	9.93366e-3	0.86127
354.21224	354.21282	9.40857e5	0.01149	1.24191
442.26467	442.26517	1.08557e6	0.01360	1.12296
609.28066	609.28180	1.14623e6	0.01815	1.37267
618.36953	618.36871	8.22415e4	0.02343	-1.02971
922.00980	922.00858	2303.65625	0.03933	-1.12778
