Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11718	1.71600e6	5.23349e-3	-2.61355
266.15981	266.15997	1.89264e6	8.08892e-3	0.59621
315.16225	315.16221	1.29494e6	8.91552e-3	-0.13075
354.21224	354.21271	1.14730e6	0.01097	1.33575
442.26467	442.26480	1.28138e6	0.01229	0.30455
609.28066	609.28140	1.66786e6	0.01659	1.21804
618.36953	618.36925	2.40687e5	0.01945	-0.44550
922.00980	922.00907	2326.26667	0.03200	-0.79659
