Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11678	1.30143e6	5.19069e-3	-5.32512
266.15981	266.16007	1.51570e6	8.97365e-3	0.97516
315.16225	315.16253	1.23325e6	0.01039	0.87936
354.21224	354.21276	8.75089e5	0.01254	1.45588
442.26467	442.26524	9.95756e5	0.01444	1.29107
609.28066	609.28191	1.22633e6	0.01909	2.05425
618.36953	618.36886	1.07111e5	0.02357	-1.08475
922.00980	922.00834	1236.17857	0.03833	-1.58141
