Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11710	1.87611e6	5.08440e-3	-3.14631
266.15981	266.16017	1.65875e6	9.05580e-3	1.34282
315.16225	315.16246	1.28415e6	0.01004	0.66867
354.21224	354.21237	1.11607e6	0.01080	0.37158
442.26467	442.26509	1.08623e6	0.01388	0.95947
609.28066	609.28083	2.30517e6	0.01743	0.28681
618.36953	618.36916	2.04735e5	0.02095	-0.59916
922.00980	922.00925	1.33518e4	0.03161	-0.59970
