Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11699	1.67666e6	5.17097e-3	-3.91446
266.15981	266.16018	1.66515e6	9.09937e-3	1.40022
315.16225	315.16257	1.17131e6	9.86058e-3	0.99965
354.21224	354.21244	1.08718e6	0.01093	0.55345
442.26467	442.26508	1.16543e6	0.01371	0.92882
609.28066	609.28106	1.85338e6	0.01627	0.65479
618.36953	618.36890	1.40110e5	0.02039	-1.01954
922.00980	922.00928	2948.80000	0.03091	-0.56206
