Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11709	1.03758e6	5.13832e-3	-3.21790
266.15981	266.16010	1.45743e6	7.90865e-3	1.10230
315.16225	315.16244	1.38794e6	9.26888e-3	0.61089
354.21224	354.21277	8.54078e5	0.01083	1.49125
442.26467	442.26485	1.01878e6	0.01258	0.40220
609.28066	609.28112	2.04029e6	0.01672	0.75487
618.36953	618.36865	8.17975e4	0.02073	-1.41902
922.00980	922.00942	1.35654e4	0.03186	-0.40999
