Target Mass (Da)	Found At (Da)	Intensity (cps)	Width (Da)	Mass Shift (ppm)
146.11756	146.11713	1.13662e6	6.85605e-3	-2.94198
266.15981	266.15984	1.48117e6	0.01133	0.10059
315.16225	315.16265	1.12300e6	0.01370	1.28300
354.21224	354.21255	8.82685e5	0.01553	0.88080
442.26467	442.26521	9.74569e5	0.01900	1.22547
609.28066	609.28092	1.64777e6	0.02385	0.42833
618.36953	618.36884	8.19123e4	0.03100	-1.11326
922.00980	922.00930	1.00626e4	0.04443	-0.54754
